"Label (Grouping)","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Median age (years)","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Some Other Race","RACE!!Total population!!Two or More Races"
"    Estimate","222,643","233,485","42.5","281,800","53,356","1,198","18,522","4,820","90","37,742","63,005"
"    Percent","48.8%","51.2%","(X)","61.8%","11.7%","0.3%","4.1%","1.1%","0.0%","8.3%","13.8%"
" -> Northeastern Connecticut Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","48,520","48,172","44.2","85,171","1,722","106","1,408","N","N","2,792","5,341"
"    Percent","50.2%","49.8%","(X)","88.1%","1.8%","0.1%","1.5%","N","N","2.9%","5.5%"
" -> Northwest Hills Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","57,254","56,209","47.5","93,867","3,443","31","2,778","N","N","4,819","8,525"
"    Percent","50.5%","49.5%","(X)","82.7%","3.0%","0.0%","2.4%","N","N","4.2%","7.5%"
" -> South Central Connecticut Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","274,115","294,043","40.5","344,042","78,495","1,244","26,452","7,295","751","57,071","60,747"
"    Percent","48.2%","51.8%","(X)","60.6%","13.8%","0.2%","4.7%","1.3%","0.1%","10.0%","10.7%"
" -> Southeastern Connecticut Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","140,465","139,169","40.8","206,475","15,603","2,314","10,769","4,337","59","15,600","28,873"
"    Percent","50.2%","49.8%","(X)","73.8%","5.6%","0.8%","3.9%","1.6%","0.0%","5.6%","10.3%"
" -> Western Connecticut Planning Region, Connecticut","","","","","","","","","","",""
"    Estimate","306,983","316,924","41.7","378,938","62,779","2,966","35,550","9,315","890","68,644","74,667"
"    Percent","49.2%","50.8%","(X)","60.7%","10.1%","0.5%","5.7%","1.5%","0.1%","11.0%","12.0%"
" -> Kent County, Delaware","","","","","","","","","","",""
"    Estimate","90,925","98,864","39.0","107,965","55,560","1,137","4,301","N","N","5,567","15,192"
"    Percent","47.9%","52.1%","(X)","56.9%","29.3%","0.6%","2.3%","N","N","2.9%","8.0%"
" -> New Castle County, Delaware","","","","","","","","","","",""
"    Estimate","280,820","297,772","39.8","309,206","150,945","814","36,555","5,801","130","34,852","46,000"
"    Percent","48.5%","51.5%","(X)","53.4%","26.1%","0.1%","6.3%","1.0%","0.0%","6.0%","8.0%"
" -> Sussex County, Delaware","","","","","","","","","","",""
"    Estimate","127,249","136,260","52.6","195,197","25,656","3,296","3,608","233","68","12,631","23,121"
"    Percent","48.3%","51.7%","(X)","74.1%","9.7%","1.3%","1.4%","0.1%","0.0%","4.8%","8.8%"
" -> District of Columbia, District of Columbia","","","","","","","","","","",""
"    Estimate","321,590","357,382","34.9","263,399","277,432","1,636","28,224","6,459","904","34,844","72,713"
"    Percent","47.4%","52.6%","(X)","38.8%","40.9%","0.2%","4.2%","1.0%","0.1%","5.1%","10.7%"
" -> Alachua County, Florida","","","","","","","","","","",""
"    Estimate","137,441","148,553","33.4","174,148","51,596","783","17,355","4,415","468","9,982","32,130"
"    Percent","48.1%","51.9%","(X)","60.9%","18.0%","0.3%","6.1%","1.5%","0.2%","3.5%","11.2%"
" -> Bay County, Florida","","","","","","","","","","",""
"    Estimate","94,137","96,632","41.4","141,129","15,657","1,487","4,516","42","78","4,590","23,390"
"    Percent","49.3%","50.7%","(X)","74.0%","8.2%","0.8%","2.4%","0.0%","0.0%","2.4%","12.3%"
" -> Brevard County, Florida","","","","","","","","","","",""
"    Estimate","318,641","325,338","46.6","470,201","62,267","1,463","16,864","2,308","529","19,556","73,083"
"    Percent","49.5%","50.5%","(X)","73.0%","9.7%","0.2%","2.6%","0.4%","0.1%","3.0%","11.3%"
" -> Broward County, Florida","","","","","","","","","","",""
"    Estimate","963,737","998,794","41.5","695,231","540,953","4,969","74,547","15,109","1,729","143,605","501,051"
"    Percent","49.1%","50.9%","(X)","35.4%","27.6%","0.3%","3.8%","0.8%","0.1%","7.3%","25.5%"
" -> Charlotte County, Florida","","","","","","","","","","",""
"    Estimate","101,326","104,808","60.1","173,433","11,446","163","2,832","N","N","4,150","13,897"
"    Percent","49.2%","50.8%","(X)","84.1%","5.6%","0.1%","1.4%","N","N","2.0%","6.7%"
" -> Citrus County, Florida","","","","","","","","","","",""
"    Estimate","81,161","85,535","56.7","146,145","2,451","360","1,957","N","N","2,998","12,785"
"    Percent","48.7%","51.3%","(X)","87.7%","1.5%","0.2%","1.2%","N","N","1.8%","7.7%"
" -> Clay County, Florida","","","","","","","","","","",""
"    Estimate","115,232","117,207","40.7","164,395","24,978","224","7,921","1,386","459","8,056","26,693"
"    Percent","49.6%","50.4%","(X)","70.7%","10.7%","0.1%","3.4%","0.6%","0.2%","3.5%","11.5%"
" -> Collier County, Florida","","","","","","","","","","",""
"    Estimate","199,902","204,408","54.0","261,207","27,443","9,966","6,834","1,822","493","17,121","81,469"
"    Percent","49.4%","50.6%","(X)","64.6%","6.8%","2.5%","1.7%","0.5%","0.1%","4.2%","20.2%"
" -> Columbia County, Florida","","","","","","","","","","",""
"    Estimate","36,712","36,351","41.2","53,839","11,658","71","550","N","N","1,870","5,018"
"    Percent","50.2%","49.8%","(X)","73.7%","16.0%","0.1%","0.8%","N","N","2.6%","6.9%"
" -> Duval County, Florida","","","","","","","","","","",""
"    Estimate","499,665","531,157","37.2","523,578","298,253","2,564","51,698","4,510","550","42,919","111,482"
"    Percent","48.5%","51.5%","(X)","50.8%","28.9%","0.2%","5.0%","0.4%","0.1%","4.2%","10.8%"
" -> Escambia County, Florida","","","","","","","","","","",""
"    Estimate","161,888","165,040","38.2","207,636","67,013","1,858","10,312","2,429","243","8,406","31,078"
"    Percent","49.5%","50.5%","(X)","63.5%","20.5%","0.6%","3.2%","0.7%","0.1%","2.6%","9.5%"
" -> Flagler County, Florida","","","","","","","","","","",""
"    Estimate","64,197","67,242","52.9","99,767","13,533","181","2,756","N","N","2,303","12,899"
"    Percent","48.8%","51.2%","(X)","75.9%","10.3%","0.1%","2.1%","N","N","1.8%","9.8%"
" -> Hernando County, Florida","","","","","","","","","","",""
"    Estimate","102,195","110,612","47.4","163,207","8,084","1,915","3,004","N","N","9,808","26,685"
"    Percent","48.0%","52.0%","(X)","76.7%","3.8%","0.9%","1.4%","N","N","4.6%","12.5%"
" -> Highlands County, Florida","","","","","","","","","","",""
"    Estimate","52,701","54,913","54.4","72,662","10,966","125","1,657","N","N","8,868","13,336"
"    Percent","49.0%","51.0%","(X)","67.5%","10.2%","0.1%","1.5%","N","N","8.2%","12.4%"
" -> Hillsborough County, Florida","","","","","","","","","","",""
"    Estimate","756,970","778,594","37.9","754,930","248,585","6,139","73,102","10,956","2,144","111,385","340,307"
"    Percent","49.3%","50.7%","(X)","49.2%","16.2%","0.4%","4.8%","0.7%","0.1%","7.3%","22.2%"
" -> Indian River County, Florida","","","","","","","","","","",""
"    Estimate","81,589","88,206","55.9","129,856","13,947","414","2,197","N","N","5,265","18,116"
"    Percent","48.1%","51.9%","(X)","76.5%","8.2%","0.2%","1.3%","N","N","3.1%","10.7%"
" -> Lake County, Florida","","","","","","","","","","",""
"    Estimate","206,639","217,823","46.7","280,664","45,313","559","8,754","N","N","17,691","70,349"
"    Percent","48.7%","51.3%","(X)","66.1%","10.7%","0.1%","2.1%","N","N","4.2%","16.6%"
" -> Lee County, Florida","","","","","","","","","","",""
"    Estimate","410,622","423,951","49.1","546,327","68,708","12,878","14,675","3,108","725","33,336","158,418"
"    Percent","49.2%","50.8%","(X)","65.5%","8.2%","1.5%","1.8%","0.4%","0.1%","4.0%","19.0%"
" -> Leon County, Florida","","","","","","","","","","",""
"    Estimate","140,356","156,557","32.6","163,234","91,080","361","10,568","2,159","264","7,096","24,481"
"    Percent","47.3%","52.7%","(X)","55.0%","30.7%","0.1%","3.6%","0.7%","0.1%","2.4%","8.2%"
" -> Manatee County, Florida","","","","","","","","","","",""
"    Estimate","214,319","226,776","49.6","311,907","34,376","4,372","11,113","2,137","273","21,238","56,956"
"    Percent","48.6%","51.4%","(X)","70.7%","7.8%","1.0%","2.5%","0.5%","0.1%","4.8%","12.9%"
" -> Marion County, Florida","","","","","","","","","","",""
"    Estimate","198,912","211,047","47.7","275,954","49,904","2,476","7,543","630","426","17,399","56,419"
"    Percent","48.5%","51.5%","(X)","67.3%","12.2%","0.6%","1.8%","0.2%","0.1%","4.2%","13.8%"
" -> Martin County, Florida","","","","","","","","","","",""
"    Estimate","81,846","81,469","53.4","127,799","8,045","1,677","2,319","N","N","7,985","15,254"
"    Percent","50.1%","49.9%","(X)","78.3%","4.9%","1.0%","1.4%","N","N","4.9%","9.3%"
" -> Miami-Dade County, Florida","","","","","","","","","","",""
"    Estimate","1,320,133","1,366,734","41.0","736,513","392,481","6,547","43,582","11,018","1,436","283,091","1,224,025"
"    Percent","49.1%","50.9%","(X)","27.4%","14.6%","0.2%","1.6%","0.4%","0.1%","10.5%","45.6%"
" -> Monroe County, Florida","","","","","","","","","","",""
"    Estimate","42,428","38,186","48.8","56,169","6,154","78","1,292","N","N","4,282","12,639"
"    Percent","52.6%","47.4%","(X)","69.7%","7.6%","0.1%","1.6%","N","N","5.3%","15.7%"
" -> Nassau County, Florida","","","","","","","","","","",""
"    Estimate","50,000","51,501","46.7","85,613","4,961","466","1,599","N","N","1,882","6,980"
"    Percent","49.3%","50.7%","(X)","84.3%","4.9%","0.5%","1.6%","N","N","1.9%","6.9%"
" -> Okaloosa County, Florida","","","","","","","","","","",""
"    Estimate","111,281","107,183","38.6","156,243","21,066","1,025","7,369","270","484","10,007","22,626"
"    Percent","50.9%","49.1%","(X)","71.5%","9.6%","0.5%","3.4%","0.1%","0.2%","4.6%","10.4%"
" -> Orange County, Florida","","","","","","","","","","",""
"    Estimate","723,805","747,611","36.9","618,449","285,733","5,269","77,536","11,838","3,463","162,648","320,468"
"    Percent","49.2%","50.8%","(X)","42.0%","19.4%","0.4%","5.3%","0.8%","0.2%","11.1%","21.8%"
" -> Osceola County, Florida","","","","","","","","","","",""
"    Estimate","216,597","221,187","37.3","162,208","52,436","651","15,564","3,965","92","115,834","89,942"
"    Percent","49.5%","50.5%","(X)","37.1%","12.0%","0.1%","3.6%","0.9%","0.0%","26.5%","20.5%"
" -> Palm Beach County, Florida","","","","","","","","","","",""
"    Estimate","748,471","785,330","45.6","810,936","276,533","3,383","45,091","7,808","1,062","136,517","261,074"
"    Percent","48.8%","51.2%","(X)","52.9%","18.0%","0.2%","2.9%","0.5%","0.1%","8.9%","17.0%"
" -> Pasco County, Florida","","","","","","","","","","",""
"    Estimate","310,075","322,921","43.0","443,439","39,957","3,679","25,050","1,719","757","30,007","90,713"
"    Percent","49.0%","51.0%","(X)","70.1%","6.3%","0.6%","4.0%","0.3%","0.1%","4.7%","14.3%"
" -> Pinellas County, Florida","","","","","","","","","","",""
"    Estimate","465,600","495,996","49.4","701,747","86,710","3,689","36,251","2,560","677","35,979","96,812"
"    Percent","48.4%","51.6%","(X)","73.0%","9.0%","0.4%","3.8%","0.3%","0.1%","3.7%","10.1%"
" -> Polk County, Florida","","","","","","","","","","",""
"    Estimate","404,124","414,206","39.5","444,332","114,522","5,725","16,402","1,811","742","107,112","129,840"
"    Percent","49.4%","50.6%","(X)","54.3%","14.0%","0.7%","2.0%","0.2%","0.1%","13.1%","15.9%"
" -> Putnam County, Florida","","","","","","","","","","",""
"    Estimate","37,069","38,886","45.4","54,478","10,643","69","515","N","N","642","9,608"
"    Percent","48.8%","51.2%","(X)","71.7%","14.0%","0.1%","0.7%","N","N","0.8%","12.6%"
" -> St. Johns County, Florida","","","","","","","","","","",""
"    Estimate","156,706","163,404","44.0","251,141","13,178","284","13,886","2,628","608","7,142","34,137"
"    Percent","49.0%","51.0%","(X)","78.5%","4.1%","0.1%","4.3%","0.8%","0.2%","2.2%","10.7%"
" -> St. Lucie County, Florida","","","","","","","","","","",""
"    Estimate","182,705","190,881","45.2","207,641","84,674","757","6,324","953","187","13,832","60,358"
"    Percent","48.9%","51.1%","(X)","55.6%","22.7%","0.2%","1.7%","0.3%","0.1%","3.7%","16.2%"
" -> Santa Rosa County, Florida","","","","","","","","","","",""
"    Estimate","103,884","99,278","40.2","160,238","10,605","479","4,388","N","N","3,566","23,886"
"    Percent","51.1%","48.9%","(X)","78.9%","5.2%","0.2%","2.2%","N","N","1.8%","11.8%"
" -> Sarasota County, Florida","","","","","","","","","","",""
"    Estimate","224,840","244,173","57.6","377,703","18,877","683","8,730","2,646","140","13,039","49,178"
"    Percent","47.9%","52.1%","(X)","80.5%","4.0%","0.1%","1.9%","0.6%","0.0%","2.8%","10.5%"
" -> Seminole County, Florida","","","","","","","","","","",""
"    Estimate","236,034","248,237","40.1","280,490","59,166","861","25,243","5,997","55","34,390","83,877"
"    Percent","48.7%","51.3%","(X)","57.9%","12.2%","0.2%","5.2%","1.2%","0.0%","7.1%","17.3%"
" -> Sumter County, Florida","","","","","","","","","","",""
"    Estimate","74,228","77,337","68.2","128,137","11,028","168","1,162","N","N","4,632","6,308"
"    Percent","49.0%","51.0%","(X)","84.5%","7.3%","0.1%","0.8%","N","N","3.1%","4.2%"
" -> Volusia County, Florida","","","","","","","","","","",""
"    Estimate","289,719","300,638","46.8","410,915","60,333","1,440","10,991","1,202","196","46,059","60,077"
"    Percent","49.1%","50.9%","(X)","69.6%","10.2%","0.2%","1.9%","0.2%","0.0%","7.8%","10.2%"
" -> Walton County, Florida","","","","","","","","","","",""
"    Estimate","44,090","42,264","43.6","71,627","4,423","2,546","714","N","N","2,121","4,756"
"    Percent","51.1%","48.9%","(X)","82.9%","5.1%","2.9%","0.8%","N","N","2.5%","5.5%"
" -> Barrow County, Georgia","","","","","","","","","","",""
"    Estimate","46,866","45,926","35.2","61,381","14,379","635","3,357","N","N","3,450","9,590"
"    Percent","50.5%","49.5%","(X)","66.1%","15.5%","0.7%","3.6%","N","N","3.7%","10.3%"
" -> Bartow County, Georgia","","","","","","","","","","",""
"    Estimate","57,050","57,991","38.9","87,303","11,658","183","928","N","N","3,687","10,525"
"    Percent","49.6%","50.4%","(X)","75.9%","10.1%","0.2%","0.8%","N","N","3.2%","9.1%"
" -> Bibb County, Georgia","","","","","","","","","","",""
"    Estimate","73,974","82,538","36.3","54,967","86,842","330","3,438","N","N","5,114","5,546"
"    Percent","47.3%","52.7%","(X)","35.1%","55.5%","0.2%","2.2%","N","N","3.3%","3.5%"
" -> Bulloch County, Georgia","","","","","","","","","","",""
"    Estimate","40,877","43,450","30.4","51,878","24,457","388","735","N","N","1,896","4,973"
"    Percent","48.5%","51.5%","(X)","61.5%","29.0%","0.5%","0.9%","N","N","2.2%","5.9%"
" -> Carroll County, Georgia","","","","","","","","","","",""
"    Estimate","61,984","65,114","35.8","85,806","25,927","441","884","N","N","5,134","8,906"
"    Percent","48.8%","51.2%","(X)","67.5%","20.4%","0.3%","0.7%","N","N","4.0%","7.0%"
" -> Catoosa County, Georgia","","","","","","","","","","",""
"    Estimate","34,094","34,816","41.8","60,854","809","281","978","N","N","83","5,905"
"    Percent","49.5%","50.5%","(X)","88.3%","1.2%","0.4%","1.4%","N","N","0.1%","8.6%"
" -> Chatham County, Georgia","","","","","","","","","","",""
"    Estimate","145,815","157,840","37.8","143,114","110,941","1,720","8,906","2,723","69","15,026","23,566"
"    Percent","48.0%","52.0%","(X)","47.1%","36.5%","0.6%","2.9%","0.9%","0.0%","4.9%","7.8%"
" -> Cherokee County, Georgia","","","","","","","","","","",""
"    Estimate","141,411","145,191","40.2","216,109","15,281","4,948","7,207","700","467","11,944","31,113"
"    Percent","49.3%","50.7%","(X)","75.4%","5.3%","1.7%","2.5%","0.2%","0.2%","4.2%","10.9%"
" -> Clarke County, Georgia","","","","","","","","","","",""
"    Estimate","61,729","68,204","29.6","74,562","33,524","201","5,417","1,720","233","5,664","10,565"
"    Percent","47.5%","52.5%","(X)","57.4%","25.8%","0.2%","4.2%","1.3%","0.2%","4.4%","8.1%"
" -> Clayton County, Georgia","","","","","","","","","","",""
"    Estimate","139,037","159,263","34.0","26,261","206,211","616","14,634","N","N","27,380","23,198"
"    Percent","46.6%","53.4%","(X)","8.8%","69.1%","0.2%","4.9%","N","N","9.2%","7.8%"
" -> Cobb County, Georgia","","","","","","","","","","",""
"    Estimate","378,664","398,079","37.9","378,257","205,064","2,614","40,551","6,512","1,207","66,801","82,650"
